param_name,fisher_value,dataset
model.layers.1.mlp.down_proj.weight,859.5932970643044,gsm8k
model.embed_tokens.weight,107.55379602313042,gsm8k
model.layers.0.self_attn.v_proj.weight,32.1305969171226,gsm8k
model.layers.27.mlp.down_proj.weight,25.56857691705227,gsm8k
model.layers.1.self_attn.v_proj.weight,22.302316173911095,gsm8k
model.layers.0.mlp.down_proj.weight,22.01833175495267,gsm8k
model.layers.2.self_attn.v_proj.weight,16.59577438980341,gsm8k
model.layers.3.self_attn.v_proj.weight,12.925324958749115,gsm8k
model.layers.10.self_attn.o_proj.weight,12.084732624702156,gsm8k
model.layers.12.self_attn.v_proj.weight,11.61333394702524,gsm8k
model.layers.5.self_attn.v_proj.weight,11.53824146091938,gsm8k
model.layers.12.self_attn.o_proj.weight,11.499446033500135,gsm8k
model.layers.13.self_attn.o_proj.weight,11.370034622959793,gsm8k
model.layers.9.self_attn.o_proj.weight,11.219538068398833,gsm8k
model.layers.9.self_attn.v_proj.weight,10.986472585238516,gsm8k
model.layers.8.self_attn.o_proj.weight,10.606630317866802,gsm8k
model.layers.13.self_attn.v_proj.weight,10.186135326512158,gsm8k
model.layers.4.self_attn.v_proj.weight,9.956091111525893,gsm8k
model.layers.6.mlp.down_proj.weight,9.955142363905907,gsm8k
model.layers.14.self_attn.v_proj.weight,9.945285191759467,gsm8k
model.layers.14.mlp.down_proj.weight,9.734067919664085,gsm8k
model.layers.10.self_attn.v_proj.weight,9.617349988780916,gsm8k
model.layers.11.self_attn.o_proj.weight,9.586627677083015,gsm8k
model.layers.6.self_attn.v_proj.weight,9.535431534983218,gsm8k
model.layers.15.mlp.down_proj.weight,9.491075929254293,gsm8k
model.layers.8.mlp.down_proj.weight,9.383055119775236,gsm8k
model.layers.9.mlp.down_proj.weight,9.303834130987525,gsm8k
model.layers.5.mlp.down_proj.weight,9.214281922206283,gsm8k
model.layers.7.mlp.down_proj.weight,9.19106821436435,gsm8k
model.layers.8.self_attn.v_proj.weight,9.187424681149423,gsm8k
model.layers.7.self_attn.o_proj.weight,9.156441118568182,gsm8k
model.layers.7.self_attn.v_proj.weight,9.098372551612556,gsm8k
model.layers.13.mlp.down_proj.weight,8.991579330526292,gsm8k
model.layers.15.self_attn.v_proj.weight,8.657699982635677,gsm8k
model.layers.10.mlp.down_proj.weight,8.589847921393812,gsm8k
