param_name,fisher_value,zone,dataset
model.layers.1.mlp.down_proj.weight,1302.281563282013,A,math
model.embed_tokens.weight,151.4231317937374,A,math
model.layers.0.self_attn.v_proj.weight,57.983431562781334,A,math
model.layers.27.mlp.down_proj.weight,36.21546657755971,A,math
model.layers.0.mlp.down_proj.weight,32.716327741742134,A,math
model.layers.1.self_attn.v_proj.weight,29.908353090286255,A,math
model.layers.2.self_attn.v_proj.weight,21.461688861250877,A,math
model.layers.3.self_attn.v_proj.weight,17.060388959944248,A,math
model.layers.10.self_attn.o_proj.weight,15.428073730319738,A,math
model.layers.13.self_attn.o_proj.weight,15.334955133497715,A,math
model.layers.12.self_attn.o_proj.weight,15.09757386893034,A,math
model.layers.14.self_attn.v_proj.weight,15.027524512261152,A,math
model.layers.15.mlp.down_proj.weight,14.46853455901146,A,math
model.layers.12.self_attn.v_proj.weight,14.342774085700512,A,math
model.layers.14.mlp.down_proj.weight,14.133497774600983,A,math
model.layers.5.self_attn.v_proj.weight,13.662535542622209,A,math
model.layers.15.self_attn.v_proj.weight,12.845328405499458,A,math
model.layers.9.self_attn.o_proj.weight,12.835771970450878,A,math
model.layers.13.self_attn.v_proj.weight,12.709783429279923,A,math
model.layers.8.self_attn.o_proj.weight,12.537429731339216,A,math
model.layers.4.self_attn.v_proj.weight,12.512154504656792,A,math
model.layers.13.mlp.down_proj.weight,12.369457423686981,A,math
model.layers.11.self_attn.o_proj.weight,12.048518130555749,A,math
model.layers.14.self_attn.o_proj.weight,11.890756104141474,A,math
model.layers.9.self_attn.v_proj.weight,11.869987543672323,A,math
model.layers.6.mlp.down_proj.weight,11.642508424818516,B,math
model.layers.7.self_attn.o_proj.weight,11.315025214105844,B,math
model.layers.5.mlp.down_proj.weight,11.09388499893248,B,math
model.layers.14.mlp.up_proj.weight,11.09304104372859,B,math
model.layers.12.mlp.down_proj.weight,10.831834150478244,B,math
model.layers.16.mlp.down_proj.weight,10.777061149477959,B,math
model.layers.7.mlp.down_proj.weight,10.583716906607151,B,math
model.layers.6.self_attn.v_proj.weight,10.543365452438593,B,math
model.layers.8.mlp.down_proj.weight,10.528976203873754,B,math
model.layers.13.mlp.up_proj.weight,10.511980015784502,B,math
model.layers.17.mlp.down_proj.weight,10.506337504833937,B,math
model.layers.10.mlp.down_proj.weight,10.444057080894709,B,math
model.layers.9.mlp.down_proj.weight,10.387111522257328,B,math
model.layers.11.mlp.down_proj.weight,10.372877778485417,B,math
model.layers.10.self_attn.v_proj.weight,10.321838602423668,B,math
model.layers.11.self_attn.v_proj.weight,10.268837485462427,B,math
model.layers.4.mlp.down_proj.weight,10.202546801418066,B,math
model.layers.7.self_attn.v_proj.weight,10.066004790365696,B,math
model.layers.15.mlp.up_proj.weight,10.011909138411283,B,math
model.layers.8.self_attn.v_proj.weight,9.771183585748076,B,math
model.layers.2.mlp.down_proj.weight,9.180497668683529,B,math
model.layers.0.self_attn.o_proj.weight,9.173711748793721,B,math
model.layers.3.mlp.down_proj.weight,9.126768656075,B,math
model.layers.6.mlp.up_proj.weight,9.112704146653414,B,math
model.layers.12.mlp.up_proj.weight,8.940137267112732,B,math
model.layers.5.self_attn.o_proj.weight,8.930568901821971,C,math
model.layers.11.mlp.up_proj.weight,8.694189568981528,C,math
model.layers.18.mlp.down_proj.weight,8.680407095700502,C,math
model.layers.19.mlp.down_proj.weight,8.6436663903296,C,math
model.layers.16.mlp.up_proj.weight,8.583340534940362,C,math
model.layers.5.mlp.up_proj.weight,8.486850021407008,C,math
model.layers.10.mlp.up_proj.weight,8.274178203195333,C,math
model.layers.4.mlp.up_proj.weight,8.053423762321472,C,math
model.layers.7.mlp.up_proj.weight,7.8952688202261925,C,math
model.layers.8.mlp.up_proj.weight,7.876440204679966,C,math
model.layers.6.self_attn.o_proj.weight,7.865269869565964,C,math
model.layers.26.mlp.down_proj.weight,7.85376725718379,C,math
model.layers.17.mlp.up_proj.weight,7.82105790451169,C,math
model.layers.9.mlp.up_proj.weight,7.710831418633461,C,math
model.layers.27.mlp.up_proj.weight,7.679042186588049,C,math
model.layers.18.mlp.up_proj.weight,7.601593114435673,C,math
model.layers.16.self_attn.v_proj.weight,7.461559051647782,C,math
model.layers.19.mlp.up_proj.weight,7.216272205114365,C,math
model.layers.26.mlp.up_proj.weight,7.126409787684679,C,math
model.layers.20.mlp.down_proj.weight,6.89702801220119,C,math
model.layers.15.self_attn.o_proj.weight,6.755359321832657,C,math
model.layers.3.mlp.up_proj.weight,6.74348983168602,C,math
model.layers.3.self_attn.o_proj.weight,6.73807742074132,C,math
model.layers.1.self_attn.o_proj.weight,6.578840306028724,C,math
model.layers.18.self_attn.v_proj.weight,6.548482596874237,C,math
model.layers.14.mlp.gate_proj.weight,6.268146304413676,C,math
model.layers.13.mlp.gate_proj.weight,6.247020135633647,C,math
model.layers.25.mlp.down_proj.weight,5.982086278498173,C,math
model.layers.11.mlp.gate_proj.weight,5.817828040570021,C,math
model.layers.2.self_attn.o_proj.weight,5.760209633037448,C,math
model.layers.12.mlp.gate_proj.weight,5.733454188331962,C,math
model.layers.2.mlp.up_proj.weight,5.670080637559295,C,math
model.layers.21.mlp.down_proj.weight,5.63118689134717,C,math
model.layers.4.self_attn.o_proj.weight,5.593571528792381,C,math
model.layers.15.mlp.gate_proj.weight,5.574897482991219,C,math
model.layers.19.self_attn.v_proj.weight,5.4922344498336315,C,math
model.layers.20.mlp.up_proj.weight,5.4162258841097355,C,math
model.layers.25.self_attn.q_proj.weight,5.370494001079351,C,math
model.layers.10.mlp.gate_proj.weight,5.264732176437974,C,math
model.layers.27.mlp.gate_proj.weight,5.1201989483088255,C,math
model.layers.17.self_attn.v_proj.weight,5.026888712309301,C,math
model.layers.22.mlp.down_proj.weight,4.992490099743009,C,math
model.layers.21.mlp.up_proj.weight,4.98492226190865,C,math
model.layers.16.mlp.gate_proj.weight,4.96945963986218,C,math
model.layers.23.mlp.down_proj.weight,4.94418915733695,C,math
model.layers.7.mlp.gate_proj.weight,4.8366926070302725,C,math
model.layers.17.mlp.gate_proj.weight,4.788403708487749,C,math
model.layers.19.mlp.gate_proj.weight,4.768569625914097,C,math
model.layers.24.mlp.down_proj.weight,4.757095795124769,C,math
model.layers.22.mlp.up_proj.weight,4.733411735855043,C,math
model.layers.1.mlp.up_proj.weight,4.704252840951085,C,math
model.layers.8.mlp.gate_proj.weight,4.697115436196327,C,math
model.layers.18.mlp.gate_proj.weight,4.675320785492659,C,math
