param_name,fisher_value,zone,dataset
model.layers.29.input_layernorm.weight,69.50052296742797,A,gsm8k
lm_head.weight,40.36765228956938,A,gsm8k
model.layers.29.self_attn.k_proj.weight,35.43895083665848,A,gsm8k
model.layers.30.input_layernorm.weight,16.347885842667893,A,gsm8k
model.layers.0.self_attn.v_proj.weight,15.921818843111396,A,gsm8k
model.layers.31.mlp.fc1.weight,13.992821514606476,A,gsm8k
model.layers.26.input_layernorm.weight,13.281061038607731,A,gsm8k
model.layers.31.self_attn.k_proj.weight,9.123155798297375,A,gsm8k
model.layers.30.mlp.fc1.weight,9.033712692558765,A,gsm8k
model.layers.2.self_attn.v_proj.weight,8.587155617773533,A,gsm8k
model.layers.29.mlp.fc1.weight,7.944760710000992,A,gsm8k
model.embed_tokens.weight,7.605746583547443,A,gsm8k
model.layers.31.input_layernorm.weight,6.092707415111363,A,gsm8k
model.layers.29.self_attn.v_proj.weight,5.216929916292429,A,gsm8k
model.layers.4.self_attn.v_proj.weight,5.155487073585391,A,gsm8k
model.layers.1.self_attn.v_proj.weight,5.145854495931417,A,gsm8k
model.layers.3.self_attn.v_proj.weight,4.715509121306241,A,gsm8k
model.layers.11.self_attn.v_proj.weight,4.696877070702612,A,gsm8k
model.layers.0.self_attn.dense.weight,4.6780236745253205,A,gsm8k
model.layers.8.mlp.fc2.weight,4.639879957772791,A,gsm8k
model.layers.7.mlp.fc2.weight,4.59000098425895,A,gsm8k
model.layers.5.mlp.fc2.weight,4.533844279125333,A,gsm8k
model.layers.6.mlp.fc2.weight,4.5234320955350995,B,gsm8k
model.layers.6.mlp.fc1.weight,4.522591358050704,B,gsm8k
model.layers.9.mlp.fc2.weight,4.463850490748882,B,gsm8k
model.layers.9.mlp.fc1.weight,4.452999630011618,B,gsm8k
model.layers.10.mlp.fc1.weight,4.438024923205376,B,gsm8k
model.layers.8.mlp.fc1.weight,4.427569206804037,B,gsm8k
model.layers.7.mlp.fc1.weight,4.32327756844461,B,gsm8k
model.layers.9.self_attn.v_proj.weight,4.280204068869352,B,gsm8k
model.layers.5.self_attn.v_proj.weight,4.252364778891206,B,gsm8k
model.layers.30.self_attn.k_proj.weight,4.212240546941757,B,gsm8k
model.layers.10.mlp.fc2.weight,4.2043627835810184,B,gsm8k
model.layers.4.mlp.fc2.weight,4.198703422676772,B,gsm8k
model.layers.3.mlp.fc2.weight,3.986540120560676,B,gsm8k
model.layers.5.mlp.fc1.weight,3.9848015452735126,B,gsm8k
model.layers.12.mlp.fc1.weight,3.9722295152023435,B,gsm8k
model.layers.11.mlp.fc1.weight,3.887478295713663,B,gsm8k
model.layers.8.self_attn.v_proj.weight,3.8719916753470898,B,gsm8k
model.layers.2.mlp.fc2.weight,3.868364396970719,B,gsm8k
model.layers.10.self_attn.v_proj.weight,3.857695924118161,B,gsm8k
model.layers.26.self_attn.k_proj.weight,3.6622646525502205,B,gsm8k
model.layers.4.mlp.fc1.weight,3.616520165465772,B,gsm8k
model.layers.11.mlp.fc2.weight,3.5847124764695764,B,gsm8k
model.layers.12.self_attn.v_proj.weight,3.5410590125247836,C,gsm8k
model.layers.1.mlp.fc2.weight,3.5289280582219362,C,gsm8k
model.layers.22.mlp.fc1.weight,3.472033371217549,C,gsm8k
model.layers.6.self_attn.v_proj.weight,3.4698988310992718,C,gsm8k
model.layers.7.self_attn.v_proj.weight,3.4641478369012475,C,gsm8k
model.layers.12.mlp.fc2.weight,3.4639501124620438,C,gsm8k
model.layers.24.mlp.fc1.weight,3.442264433018863,C,gsm8k
model.layers.23.mlp.fc1.weight,3.4207138996571302,C,gsm8k
model.layers.13.mlp.fc1.weight,3.397895522415638,C,gsm8k
model.layers.20.mlp.fc1.weight,3.3432783484458923,C,gsm8k
model.layers.19.mlp.fc1.weight,3.2506849728524685,C,gsm8k
model.layers.21.mlp.fc1.weight,3.2430226327851415,C,gsm8k
model.layers.18.mlp.fc1.weight,3.208546050824225,C,gsm8k
model.layers.15.mlp.fc1.weight,3.2023503175005317,C,gsm8k
model.layers.17.mlp.fc1.weight,3.1922945119440556,C,gsm8k
model.layers.3.mlp.fc1.weight,3.1874269428662956,C,gsm8k
model.layers.16.mlp.fc1.weight,3.1721817003563046,C,gsm8k
