layer_name,fisher_mean,fisher_sum,parameter_count
model.layers.29.input_layernorm,60.72382725775242,121.44765451550484,2
lm_head,51.873188897036016,103.74637779407203,2
model.layers.29.self_attn.k_proj,33.22941913455725,66.4588382691145,2
model.layers.0.self_attn.v_proj,21.431170762516558,42.862341525033116,2
model.layers.26.input_layernorm,20.11154053118662,40.22308106237324,2
model.layers.31.mlp.fc1,17.085749613586813,34.171499227173626,2
model.layers.30.input_layernorm,16.025037027779035,32.05007405555807,2
model.layers.30.mlp.fc1,13.851344230119139,27.702688460238278,2
model.layers.2.self_attn.v_proj,12.07996911345981,24.15993822691962,2
model.embed_tokens,11.359272232744843,22.718544465489686,2
