param_name,fisher_value,dataset
model.layers.2.mlp.down_proj.weight,4493.556507110596,gsm8k
model.layers.30.mlp.down_proj.weight,1167.180820696056,gsm8k
model.embed_tokens.weight,55.115676240995526,gsm8k
model.layers.1.mlp.gate_proj.weight,45.21595393354073,gsm8k
model.layers.3.mlp.down_proj.weight,41.6076707332395,gsm8k
model.layers.0.self_attn.v_proj.weight,24.328237286303192,gsm8k
model.layers.28.mlp.up_proj.weight,22.17148387688212,gsm8k
model.layers.10.mlp.up_proj.weight,20.988765784190036,gsm8k
model.layers.16.mlp.down_proj.weight,20.083486797404476,gsm8k
model.layers.14.mlp.down_proj.weight,19.578488876577467,gsm8k
model.layers.17.mlp.down_proj.weight,19.512434805976227,gsm8k
model.layers.12.mlp.up_proj.weight,18.711132276104763,gsm8k
model.layers.15.mlp.down_proj.weight,18.573823914397508,gsm8k
model.layers.12.mlp.down_proj.weight,18.471488181501627,gsm8k
model.layers.9.mlp.up_proj.weight,18.416377142304555,gsm8k
model.layers.18.mlp.down_proj.weight,18.229174788109958,gsm8k
model.layers.16.mlp.up_proj.weight,17.92741319851484,gsm8k
model.layers.14.mlp.up_proj.weight,17.842253433424048,gsm8k
model.layers.20.mlp.down_proj.weight,17.464384203776717,gsm8k
model.layers.15.mlp.up_proj.weight,16.659201627073344,gsm8k
model.layers.17.mlp.up_proj.weight,16.628567370586097,gsm8k
model.layers.11.mlp.down_proj.weight,16.55875142820878,gsm8k
model.layers.22.mlp.down_proj.weight,16.54097461141646,gsm8k
model.layers.18.mlp.up_proj.weight,16.48318551853299,gsm8k
model.layers.21.mlp.down_proj.weight,16.445864389417693,gsm8k
model.layers.11.mlp.up_proj.weight,16.382951283769216,gsm8k
model.layers.19.self_attn.o_proj.weight,16.145785224973224,gsm8k
model.layers.23.mlp.down_proj.weight,16.02433460066095,gsm8k
model.layers.17.mlp.gate_proj.weight,16.013958223047666,gsm8k
model.layers.22.mlp.up_proj.weight,15.791436093393713,gsm8k
model.layers.13.mlp.down_proj.weight,15.741214484442025,gsm8k
model.layers.23.mlp.up_proj.weight,15.59069306391757,gsm8k
model.layers.18.mlp.gate_proj.weight,15.471417463675607,gsm8k
model.layers.19.mlp.down_proj.weight,15.418901083408855,gsm8k
model.layers.20.mlp.up_proj.weight,15.417397632612847,gsm8k
model.layers.24.mlp.down_proj.weight,15.297564269625582,gsm8k
model.layers.16.mlp.gate_proj.weight,15.108808354649227,gsm8k
model.layers.15.mlp.gate_proj.weight,15.031321609858423,gsm8k
model.layers.21.mlp.up_proj.weight,14.976446929154918,gsm8k
model.layers.23.mlp.gate_proj.weight,14.962733455118723,gsm8k
model.layers.13.mlp.up_proj.weight,14.87878472043667,gsm8k
model.layers.6.mlp.up_proj.weight,14.768764707725495,gsm8k
model.layers.25.mlp.down_proj.weight,14.721064674900845,gsm8k
model.layers.25.mlp.up_proj.weight,14.718245075782761,gsm8k
model.layers.19.mlp.up_proj.weight,14.700476648635231,gsm8k
model.layers.24.mlp.up_proj.weight,14.69770085287746,gsm8k
model.layers.22.mlp.gate_proj.weight,14.594468258321285,gsm8k
model.layers.19.mlp.gate_proj.weight,14.41521274659317,gsm8k
model.layers.26.mlp.down_proj.weight,14.39122061850503,gsm8k
model.layers.21.mlp.gate_proj.weight,14.181726914364845,gsm8k
model.layers.8.mlp.up_proj.weight,14.1418958484428,gsm8k
model.layers.10.mlp.down_proj.weight,14.090741294028703,gsm8k
model.layers.20.mlp.gate_proj.weight,14.078432947280817,gsm8k
model.layers.7.mlp.up_proj.weight,14.061675786506385,gsm8k
model.layers.24.mlp.gate_proj.weight,13.86835149867693,gsm8k
model.layers.14.mlp.gate_proj.weight,13.663557041902095,gsm8k
model.layers.26.mlp.up_proj.weight,13.163299931911752,gsm8k
model.layers.35.mlp.down_proj.weight,13.162309592124075,gsm8k
model.layers.27.mlp.down_proj.weight,13.106888383626938,gsm8k
model.layers.0.self_attn.o_proj.weight,13.07589560141787,gsm8k
model.layers.25.mlp.gate_proj.weight,13.039137634914368,gsm8k
model.layers.26.mlp.gate_proj.weight,12.789722720743157,gsm8k
model.layers.5.mlp.up_proj.weight,12.72207478492055,gsm8k
model.layers.27.mlp.up_proj.weight,12.661245955037884,gsm8k
model.layers.25.self_attn.v_proj.weight,12.270705226925202,gsm8k
model.layers.30.mlp.gate_proj.weight,12.187190665397793,gsm8k
model.layers.13.mlp.gate_proj.weight,11.979369532316923,gsm8k
model.layers.9.mlp.down_proj.weight,11.895606778096408,gsm8k
model.layers.23.self_attn.o_proj.weight,11.862596767256036,gsm8k
model.layers.27.mlp.gate_proj.weight,11.632609800552018,gsm8k
model.layers.21.self_attn.o_proj.weight,11.630160350701772,gsm8k
model.layers.12.mlp.gate_proj.weight,11.563995386299212,gsm8k
model.layers.10.mlp.gate_proj.weight,11.208196818013676,gsm8k
model.layers.17.self_attn.o_proj.weight,10.936799949093256,gsm8k
model.layers.20.self_attn.v_proj.weight,10.784411038272083,gsm8k
model.layers.18.self_attn.o_proj.weight,10.575145187031012,gsm8k
model.layers.11.mlp.gate_proj.weight,10.445504414616153,gsm8k
model.layers.30.mlp.up_proj.weight,10.437057153787464,gsm8k
model.layers.17.self_attn.v_proj.weight,10.412493359355722,gsm8k
model.layers.28.mlp.down_proj.weight,10.294665022054687,gsm8k
model.layers.9.mlp.gate_proj.weight,10.208994503249414,gsm8k
model.layers.28.mlp.gate_proj.weight,10.00348790420685,gsm8k
model.layers.15.self_attn.o_proj.weight,9.935462745313998,gsm8k
model.layers.22.self_attn.o_proj.weight,9.88897844782332,gsm8k
model.layers.20.self_attn.o_proj.weight,9.815321700909408,gsm8k
model.layers.8.mlp.down_proj.weight,9.493227091152221,gsm8k
model.layers.24.self_attn.v_proj.weight,9.470067124057095,gsm8k
model.layers.15.self_attn.v_proj.weight,9.382942543074023,gsm8k
model.layers.29.mlp.up_proj.weight,9.374267209786922,gsm8k
model.layers.24.self_attn.o_proj.weight,9.367901994963177,gsm8k
model.layers.18.self_attn.v_proj.weight,9.303808856755495,gsm8k
model.layers.19.self_attn.v_proj.weight,8.983801709313411,gsm8k
model.layers.29.mlp.down_proj.weight,8.774085345678031,gsm8k
model.layers.7.mlp.gate_proj.weight,8.755199610837735,gsm8k
model.layers.16.self_attn.o_proj.weight,8.74375396448886,gsm8k
model.layers.29.mlp.gate_proj.weight,8.728612498380244,gsm8k
model.layers.1.mlp.up_proj.weight,8.458123917225748,gsm8k
model.layers.7.mlp.down_proj.weight,8.413308725401293,gsm8k
model.layers.16.self_attn.v_proj.weight,8.406561790441629,gsm8k
model.layers.3.mlp.up_proj.weight,8.247218789707404,gsm8k
model.layers.3.mlp.gate_proj.weight,7.7812555361306295,gsm8k
model.layers.14.self_attn.o_proj.weight,7.754698546836153,gsm8k
model.layers.23.self_attn.v_proj.weight,7.643999516614713,gsm8k
model.layers.14.self_attn.v_proj.weight,7.5867096987203695,gsm8k
model.layers.2.mlp.gate_proj.weight,7.560155440471135,gsm8k
model.layers.27.self_attn.o_proj.weight,7.49477790563833,gsm8k
model.layers.8.mlp.gate_proj.weight,7.483443318807986,gsm8k
model.layers.6.mlp.gate_proj.weight,7.4374940959969535,gsm8k
model.layers.21.self_attn.v_proj.weight,7.275516588881146,gsm8k
model.layers.4.mlp.up_proj.weight,7.232760104816407,gsm8k
model.layers.27.self_attn.v_proj.weight,7.191331185691524,gsm8k
model.layers.5.mlp.gate_proj.weight,6.983563550456893,gsm8k
model.layers.2.mlp.up_proj.weight,6.545929039944895,gsm8k
model.layers.12.self_attn.v_proj.weight,6.171109918039292,gsm8k
model.layers.31.mlp.gate_proj.weight,6.108131870394573,gsm8k
model.layers.35.mlp.up_proj.weight,5.978067673975602,gsm8k
model.layers.31.mlp.down_proj.weight,5.899846606189385,gsm8k
model.layers.6.mlp.down_proj.weight,5.870834294648375,gsm8k
model.layers.12.self_attn.o_proj.weight,5.688941968517611,gsm8k
model.layers.26.self_attn.o_proj.weight,5.636241531756241,gsm8k
model.layers.31.mlp.up_proj.weight,5.625896762125194,gsm8k
model.layers.13.self_attn.v_proj.weight,5.597290277510183,gsm8k
model.layers.4.mlp.down_proj.weight,5.4868855678942055,gsm8k
model.layers.20.self_attn.k_proj.weight,5.3502699618111365,gsm8k
model.layers.0.mlp.down_proj.weight,5.065483025915455,gsm8k
model.layers.25.self_attn.o_proj.weight,5.064139705966227,gsm8k
model.layers.22.self_attn.v_proj.weight,5.036679810436908,gsm8k
model.layers.24.self_attn.k_proj.weight,5.036195544118527,gsm8k
model.layers.11.self_attn.o_proj.weight,4.818071095884079,gsm8k
model.layers.11.self_attn.v_proj.weight,4.734874971123645,gsm8k
model.layers.10.self_attn.v_proj.weight,4.565171270514838,gsm8k
model.layers.5.mlp.down_proj.weight,4.564020651363535,gsm8k
model.layers.35.mlp.gate_proj.weight,4.51948113180697,gsm8k
model.layers.32.mlp.down_proj.weight,4.445896568126045,gsm8k
model.layers.18.self_attn.k_proj.weight,4.4321574980567675,gsm8k
model.layers.32.mlp.gate_proj.weight,4.303821089095436,gsm8k
model.layers.23.self_attn.k_proj.weight,4.297434881504159,gsm8k
model.layers.4.mlp.gate_proj.weight,4.233925658190856,gsm8k
model.layers.23.self_attn.q_proj.weight,4.121952126733959,gsm8k
model.layers.28.self_attn.o_proj.weight,4.10631707648281,gsm8k
model.layers.13.self_attn.o_proj.weight,4.042378406695207,gsm8k
model.layers.9.self_attn.v_proj.weight,4.019477805486531,gsm8k
model.layers.26.self_attn.v_proj.weight,3.9492984219104983,gsm8k
model.layers.32.mlp.up_proj.weight,3.9270627342630178,gsm8k
model.layers.15.self_attn.k_proj.weight,3.813060924934689,gsm8k
model.layers.17.self_attn.k_proj.weight,3.7612576886240277,gsm8k
model.layers.13.self_attn.k_proj.weight,3.6505630848550936,gsm8k
model.layers.19.self_attn.k_proj.weight,3.5911872810393106,gsm8k
model.layers.33.mlp.down_proj.weight,3.552680638502352,gsm8k
model.layers.26.self_attn.k_proj.weight,3.529188304935815,gsm8k
model.layers.22.self_attn.q_proj.weight,3.512347136856988,gsm8k
model.layers.17.self_attn.q_proj.weight,3.503869430765917,gsm8k
model.layers.14.self_attn.k_proj.weight,3.500269009527983,gsm8k
model.layers.21.self_attn.q_proj.weight,3.4422242960281437,gsm8k
model.layers.27.self_attn.k_proj.weight,3.4236105334275635,gsm8k
model.layers.20.self_attn.q_proj.weight,3.4131154810165754,gsm8k
model.layers.13.self_attn.q_proj.weight,3.3792891917400993,gsm8k
model.layers.1.self_attn.o_proj.weight,3.3740349602885544,gsm8k
model.layers.8.self_attn.v_proj.weight,3.310697929613525,gsm8k
model.layers.33.mlp.gate_proj.weight,3.297363393707201,gsm8k
model.layers.19.self_attn.q_proj.weight,3.2829409814294195,gsm8k
model.layers.16.self_attn.q_proj.weight,3.2616456030809786,gsm8k
model.layers.18.self_attn.q_proj.weight,3.2524947361962404,gsm8k
model.layers.22.self_attn.k_proj.weight,3.198094920546282,gsm8k
model.layers.25.self_attn.k_proj.weight,3.186833435422159,gsm8k
model.layers.28.self_attn.v_proj.weight,3.1122827739745844,gsm8k
model.layers.34.mlp.up_proj.weight,3.09903547167778,gsm8k
model.layers.34.mlp.gate_proj.weight,3.097725422703661,gsm8k
model.layers.33.mlp.up_proj.weight,3.0641610493185,gsm8k
model.layers.11.self_attn.k_proj.weight,3.002061159997538,gsm8k
model.layers.6.self_attn.v_proj.weight,2.9852713488799054,gsm8k
model.layers.10.self_attn.o_proj.weight,2.983272853438393,gsm8k
model.layers.16.self_attn.k_proj.weight,2.9051619918755023,gsm8k
model.layers.14.self_attn.q_proj.weight,2.8824650389287854,gsm8k
model.layers.28.self_attn.k_proj.weight,2.865117926419771,gsm8k
model.layers.15.self_attn.q_proj.weight,2.8286399463104317,gsm8k
model.layers.7.self_attn.v_proj.weight,2.7665018192201387,gsm8k
model.layers.9.self_attn.o_proj.weight,2.663771800689574,gsm8k
model.layers.4.self_attn.v_proj.weight,2.5913214832398808,gsm8k
model.layers.21.self_attn.k_proj.weight,2.5527752010093536,gsm8k
model.layers.24.self_attn.q_proj.weight,2.444023172967718,gsm8k
model.layers.8.self_attn.o_proj.weight,2.333963753422722,gsm8k
model.layers.34.mlp.down_proj.weight,2.3320430072490126,gsm8k
model.layers.27.self_attn.q_proj.weight,2.316382204851834,gsm8k
model.layers.31.self_attn.o_proj.weight,2.310044925136026,gsm8k
model.layers.5.self_attn.v_proj.weight,2.2225731338985497,gsm8k
model.layers.29.self_attn.o_proj.weight,2.2178920535952784,gsm8k
model.layers.12.self_attn.k_proj.weight,2.1936694041869487,gsm8k
model.layers.33.self_attn.k_proj.weight,2.1917966664514097,gsm8k
model.layers.28.self_attn.q_proj.weight,2.126707522504148,gsm8k
model.layers.29.self_attn.k_proj.weight,2.1045031123940134,gsm8k
model.layers.30.self_attn.k_proj.weight,2.1030545910762157,gsm8k
model.layers.25.self_attn.q_proj.weight,2.087799198619905,gsm8k
model.layers.11.self_attn.q_proj.weight,2.061859322297096,gsm8k
model.layers.6.self_attn.o_proj.weight,2.053110432709218,gsm8k
model.layers.1.self_attn.v_proj.weight,2.034213419043226,gsm8k
model.layers.26.self_attn.q_proj.weight,2.026624863683537,gsm8k
model.layers.12.self_attn.q_proj.weight,1.9913924528518692,gsm8k
model.layers.33.self_attn.o_proj.weight,1.9308491465635598,gsm8k
model.layers.29.self_attn.v_proj.weight,1.8710548887320329,gsm8k
model.layers.0.mlp.up_proj.weight,1.8174055650742957,gsm8k
model.layers.2.self_attn.v_proj.weight,1.8137815052905353,gsm8k
model.layers.10.self_attn.k_proj.weight,1.8017679027252598,gsm8k
model.layers.32.self_attn.o_proj.weight,1.6741704522573855,gsm8k
model.layers.7.self_attn.o_proj.weight,1.653011083632009,gsm8k
model.layers.29.self_attn.q_proj.weight,1.5570480794121977,gsm8k
model.layers.30.self_attn.v_proj.weight,1.51574108726345,gsm8k
model.layers.9.self_attn.k_proj.weight,1.4763191049169109,gsm8k
model.layers.30.self_attn.o_proj.weight,1.4038179376366315,gsm8k
model.layers.10.self_attn.q_proj.weight,1.38848588016117,gsm8k
model.layers.2.self_attn.o_proj.weight,1.3723495038284454,gsm8k
model.layers.4.self_attn.o_proj.weight,1.3538249981575063,gsm8k
model.layers.3.self_attn.v_proj.weight,1.3456294500792865,gsm8k
model.layers.0.mlp.gate_proj.weight,1.2528733661602018,gsm8k
model.layers.31.self_attn.v_proj.weight,1.2190067623159848,gsm8k
model.layers.32.self_attn.k_proj.weight,1.1866703744744882,gsm8k
model.layers.8.self_attn.k_proj.weight,1.1495441066908825,gsm8k
model.layers.30.self_attn.q_proj.weight,1.1058312152235885,gsm8k
model.layers.1.mlp.down_proj.weight,1.0574591088661691,gsm8k
model.layers.6.self_attn.k_proj.weight,1.0520017989001644,gsm8k
model.layers.31.self_attn.k_proj.weight,1.0452676202949078,gsm8k
model.layers.9.self_attn.q_proj.weight,1.0075247167842463,gsm8k
model.layers.3.self_attn.o_proj.weight,0.9980551336484496,gsm8k
model.layers.32.self_attn.v_proj.weight,0.989585344446823,gsm8k
model.layers.5.self_attn.k_proj.weight,0.8544518433664052,gsm8k
model.layers.5.self_attn.o_proj.weight,0.8348963464559347,gsm8k
model.layers.8.self_attn.q_proj.weight,0.7762915761122713,gsm8k
model.layers.34.self_attn.o_proj.weight,0.7434904878027737,gsm8k
model.layers.35.self_attn.k_proj.weight,0.7053016014397144,gsm8k
model.layers.7.self_attn.k_proj.weight,0.6845611196222308,gsm8k
model.layers.5.self_attn.q_proj.weight,0.6400101429862843,gsm8k
model.layers.32.self_attn.q_proj.weight,0.6380244245010545,gsm8k
model.layers.6.self_attn.q_proj.weight,0.6304532267731702,gsm8k
model.layers.31.self_attn.q_proj.weight,0.6239928124878134,gsm8k
model.layers.35.self_attn.o_proj.weight,0.5872623994364403,gsm8k
model.layers.33.self_attn.q_proj.weight,0.5868659181214753,gsm8k
model.layers.35.self_attn.q_proj.weight,0.5589461577201291,gsm8k
model.layers.4.self_attn.k_proj.weight,0.5317101304972311,gsm8k
model.layers.34.self_attn.k_proj.weight,0.4950190781710262,gsm8k
model.layers.7.self_attn.q_proj.weight,0.4487534451764077,gsm8k
model.layers.0.self_attn.k_proj.weight,0.41989151142843184,gsm8k
model.layers.34.self_attn.v_proj.weight,0.41320959020231385,gsm8k
