layer_name,fisher_mean,fisher_sum,parameter_count
model.layers.2.mlp.down_proj,3642.1741841733456,7284.348368346691,2
model.layers.30.mlp.down_proj,846.596869782079,1693.193739564158,2
model.embed_tokens,92.8509348668158,185.7018697336316,2
model.layers.1.mlp.gate_proj,34.061925096670166,68.12385019334033,2
model.layers.3.mlp.down_proj,31.37429557996802,62.74859115993604,2
model.layers.0.self_attn.v_proj,19.68831927073188,39.37663854146376,2
model.layers.10.mlp.up_proj,17.482955486804713,34.965910973609425,2
model.layers.16.mlp.down_proj,16.935704571718816,33.87140914343763,2
model.layers.17.mlp.down_proj,16.407740103197284,32.81548020639457,2
model.layers.28.mlp.up_proj,16.356267716386355,32.71253543277271,2
