param_name,fisher_value,zone,dataset
model.layers.1.mlp.down_proj.weight,859.5932970643044,A,gsm8k
model.embed_tokens.weight,107.55379602313042,A,gsm8k
model.layers.0.self_attn.v_proj.weight,32.1305969171226,A,gsm8k
model.layers.27.mlp.down_proj.weight,25.56857691705227,A,gsm8k
model.layers.1.self_attn.v_proj.weight,22.302316173911095,A,gsm8k
model.layers.0.mlp.down_proj.weight,22.01833175495267,A,gsm8k
model.layers.2.self_attn.v_proj.weight,16.59577438980341,A,gsm8k
model.layers.3.self_attn.v_proj.weight,12.925324958749115,A,gsm8k
model.layers.10.self_attn.o_proj.weight,12.084732624702156,A,gsm8k
model.layers.12.self_attn.v_proj.weight,11.61333394702524,A,gsm8k
model.layers.5.self_attn.v_proj.weight,11.53824146091938,A,gsm8k
model.layers.12.self_attn.o_proj.weight,11.499446033500135,A,gsm8k
model.layers.13.self_attn.o_proj.weight,11.370034622959793,A,gsm8k
model.layers.9.self_attn.o_proj.weight,11.219538068398833,A,gsm8k
model.layers.9.self_attn.v_proj.weight,10.986472585238516,A,gsm8k
model.layers.8.self_attn.o_proj.weight,10.606630317866802,A,gsm8k
model.layers.13.self_attn.v_proj.weight,10.186135326512158,A,gsm8k
model.layers.4.self_attn.v_proj.weight,9.956091111525893,A,gsm8k
model.layers.6.mlp.down_proj.weight,9.955142363905907,A,gsm8k
model.layers.14.self_attn.v_proj.weight,9.945285191759467,A,gsm8k
model.layers.14.mlp.down_proj.weight,9.734067919664085,A,gsm8k
model.layers.10.self_attn.v_proj.weight,9.617349988780916,A,gsm8k
model.layers.11.self_attn.o_proj.weight,9.586627677083015,A,gsm8k
model.layers.6.self_attn.v_proj.weight,9.535431534983218,A,gsm8k
model.layers.15.mlp.down_proj.weight,9.491075929254293,A,gsm8k
model.layers.8.mlp.down_proj.weight,9.383055119775236,B,gsm8k
model.layers.9.mlp.down_proj.weight,9.303834130987525,B,gsm8k
model.layers.5.mlp.down_proj.weight,9.214281922206283,B,gsm8k
model.layers.7.mlp.down_proj.weight,9.19106821436435,B,gsm8k
model.layers.8.self_attn.v_proj.weight,9.187424681149423,B,gsm8k
model.layers.7.self_attn.o_proj.weight,9.156441118568182,B,gsm8k
model.layers.7.self_attn.v_proj.weight,9.098372551612556,B,gsm8k
model.layers.13.mlp.down_proj.weight,8.991579330526292,B,gsm8k
model.layers.15.self_attn.v_proj.weight,8.657699982635677,B,gsm8k
model.layers.10.mlp.down_proj.weight,8.589847921393812,B,gsm8k
model.layers.12.mlp.down_proj.weight,8.578825718723238,B,gsm8k
model.layers.6.mlp.up_proj.weight,8.553802210837603,B,gsm8k
model.layers.11.self_attn.v_proj.weight,8.550403074361384,B,gsm8k
model.layers.4.mlp.down_proj.weight,8.480626238510013,B,gsm8k
model.layers.14.self_attn.o_proj.weight,8.267258836887777,B,gsm8k
model.layers.11.mlp.down_proj.weight,8.217676504515111,B,gsm8k
model.layers.13.mlp.up_proj.weight,7.701831656508148,B,gsm8k
model.layers.8.mlp.up_proj.weight,7.54836755618453,B,gsm8k
model.layers.5.mlp.up_proj.weight,7.4306895337067544,B,gsm8k
model.layers.7.mlp.up_proj.weight,7.38741366751492,B,gsm8k
model.layers.9.mlp.up_proj.weight,7.369072610512376,B,gsm8k
model.layers.14.mlp.up_proj.weight,7.358623154461384,B,gsm8k
model.layers.4.mlp.up_proj.weight,7.273920712061226,B,gsm8k
model.layers.11.mlp.up_proj.weight,7.195903723593801,B,gsm8k
model.layers.10.mlp.up_proj.weight,7.158550623804331,B,gsm8k
model.layers.3.mlp.down_proj.weight,7.124254202935845,C,gsm8k
model.layers.12.mlp.up_proj.weight,7.104923027101904,C,gsm8k
model.layers.6.self_attn.o_proj.weight,7.059293292462826,C,gsm8k
model.layers.17.mlp.down_proj.weight,7.039427232928574,C,gsm8k
model.layers.16.mlp.down_proj.weight,7.027928744442761,C,gsm8k
model.layers.2.mlp.down_proj.weight,6.853484559804201,C,gsm8k
model.layers.15.mlp.up_proj.weight,6.484812301117927,C,gsm8k
model.layers.5.self_attn.o_proj.weight,6.448938205372542,C,gsm8k
model.layers.27.mlp.up_proj.weight,6.420759833883494,C,gsm8k
model.layers.0.self_attn.o_proj.weight,6.273918599355966,C,gsm8k
model.layers.26.mlp.down_proj.weight,5.794563567265868,C,gsm8k
model.layers.18.mlp.down_proj.weight,5.610074675641954,C,gsm8k
model.layers.16.mlp.up_proj.weight,5.55971807660535,C,gsm8k
model.layers.3.mlp.up_proj.weight,5.488383266143501,C,gsm8k
model.layers.1.self_attn.o_proj.weight,5.287523831240833,C,gsm8k
model.layers.19.mlp.down_proj.weight,5.2577502597123384,C,gsm8k
model.layers.3.self_attn.o_proj.weight,5.226150549016893,C,gsm8k
model.layers.16.self_attn.v_proj.weight,5.225960547104478,C,gsm8k
