layer_name,fisher_mean,fisher_sum,parameter_count
model.layers.1.mlp.down_proj,1080.9374301731586,2161.8748603463173,2
model.embed_tokens,129.4884639084339,258.9769278168678,2
model.layers.0.self_attn.v_proj,45.05701423995197,90.11402847990394,2
model.layers.27.mlp.down_proj,30.89202174730599,61.78404349461198,2
model.layers.0.mlp.down_proj,27.3673297483474,54.7346594966948,2
model.layers.1.self_attn.v_proj,26.105334632098675,52.21066926419735,2
model.layers.2.self_attn.v_proj,19.028731625527143,38.05746325105429,2
model.layers.3.self_attn.v_proj,14.992856959346682,29.985713918693364,2
model.layers.10.self_attn.o_proj,13.756403177510947,27.512806355021894,2
model.layers.13.self_attn.o_proj,13.352494878228754,26.704989756457508,2
