param_name,fisher_value,dataset
model.layers.0.input_layernorm.weight,4.849253726191819,gsm8k
model.layers.0.self_attn.v_proj.weight,2.2264955637510866,gsm8k
model.layers.0.post_attention_layernorm.weight,0.869808682706207,gsm8k
model.layers.19.post_attention_layernorm.weight,0.5695896567776799,gsm8k
model.layers.11.post_attention_layernorm.weight,0.5303259922075085,gsm8k
model.layers.10.post_attention_layernorm.weight,0.49600059806834906,gsm8k
model.layers.15.post_attention_layernorm.weight,0.47213368125570315,gsm8k
model.layers.13.post_attention_layernorm.weight,0.43450801852547255,gsm8k
model.layers.7.post_attention_layernorm.weight,0.4300433566483359,gsm8k
model.layers.1.input_layernorm.weight,0.41146041664372507,gsm8k
model.layers.6.post_attention_layernorm.weight,0.3837357020820491,gsm8k
model.layers.16.post_attention_layernorm.weight,0.3805586499996328,gsm8k
model.layers.12.post_attention_layernorm.weight,0.3798750809704264,gsm8k
model.layers.9.post_attention_layernorm.weight,0.37543397345386137,gsm8k
model.layers.8.post_attention_layernorm.weight,0.3625329963785286,gsm8k
model.layers.14.post_attention_layernorm.weight,0.35392344327798736,gsm8k
model.layers.18.post_attention_layernorm.weight,0.346981133101508,gsm8k
model.layers.17.post_attention_layernorm.weight,0.3053270247376834,gsm8k
model.layers.4.post_attention_layernorm.weight,0.2702434089248224,gsm8k
model.layers.22.post_attention_layernorm.weight,0.21638981730211526,gsm8k
model.layers.20.input_layernorm.weight,0.20497741511402032,gsm8k
model.layers.3.input_layernorm.weight,0.2049414115899708,gsm8k
model.layers.20.post_attention_layernorm.weight,0.20218242454575375,gsm8k
model.layers.11.input_layernorm.weight,0.19158713864938667,gsm8k
model.layers.4.input_layernorm.weight,0.18390642720138808,gsm8k
model.layers.5.input_layernorm.weight,0.1671476651026751,gsm8k
model.layers.21.post_attention_layernorm.weight,0.16508734771438563,gsm8k
model.layers.7.input_layernorm.weight,0.16266742032409334,gsm8k
model.layers.27.post_attention_layernorm.weight,0.16098520720455176,gsm8k
model.layers.26.post_attention_layernorm.weight,0.15846661005343776,gsm8k
model.layers.13.input_layernorm.weight,0.15726807573325155,gsm8k
model.layers.2.input_layernorm.weight,0.15311252089789681,gsm8k
model.layers.6.input_layernorm.weight,0.1478035517842121,gsm8k
model.layers.27.input_layernorm.weight,0.1348187758170146,gsm8k
model.layers.21.input_layernorm.weight,0.12676681690694144,gsm8k
model.layers.17.input_layernorm.weight,0.12315242063777987,gsm8k
model.layers.18.input_layernorm.weight,0.12117491028038785,gsm8k
model.layers.9.input_layernorm.weight,0.1200971382932039,gsm8k
model.layers.10.input_layernorm.weight,0.11895262636244297,gsm8k
model.layers.15.input_layernorm.weight,0.11709153807411592,gsm8k
model.layers.27.self_attn.k_proj.weight,0.11082280721408704,gsm8k
model.layers.19.input_layernorm.weight,0.10884787165559828,gsm8k
model.layers.8.input_layernorm.weight,0.10688621507627734,gsm8k
model.layers.3.post_attention_layernorm.weight,0.09212348330280899,gsm8k
model.layers.12.input_layernorm.weight,0.09117545270419214,gsm8k
model.layers.23.post_attention_layernorm.weight,0.0884532119234791,gsm8k
model.layers.1.self_attn.v_proj.weight,0.08781922572719243,gsm8k
model.layers.5.post_attention_layernorm.weight,0.0860757903404495,gsm8k
model.layers.16.input_layernorm.weight,0.08291053559514694,gsm8k
model.layers.19.self_attn.v_proj.weight,0.08214976242743433,gsm8k
model.norm.weight,0.08037626806374949,gsm8k
model.layers.2.post_attention_layernorm.weight,0.07924597993890832,gsm8k
model.layers.24.post_attention_layernorm.weight,0.0767506916745333,gsm8k
model.layers.22.input_layernorm.weight,0.07505552141810767,gsm8k
model.layers.15.self_attn.v_proj.weight,0.07279068498852818,gsm8k
model.layers.25.post_attention_layernorm.weight,0.07208858559412572,gsm8k
model.layers.11.self_attn.v_proj.weight,0.06605758260169144,gsm8k
model.layers.7.self_attn.v_proj.weight,0.061304373632689625,gsm8k
model.layers.17.self_attn.v_proj.weight,0.0612636554724304,gsm8k
model.layers.14.input_layernorm.weight,0.060928681644630465,gsm8k
model.layers.6.self_attn.v_proj.weight,0.059759107876743656,gsm8k
model.layers.3.self_attn.v_proj.weight,0.05949545169763345,gsm8k
model.layers.1.post_attention_layernorm.weight,0.05766556614253204,gsm8k
model.layers.26.self_attn.k_proj.weight,0.0538059261671151,gsm8k
model.layers.24.input_layernorm.weight,0.05314151693649668,gsm8k
model.layers.23.input_layernorm.weight,0.052628930815747786,gsm8k
model.layers.14.self_attn.v_proj.weight,0.051279592325348254,gsm8k
model.layers.13.self_attn.v_proj.weight,0.0507212697872698,gsm8k
model.layers.10.self_attn.v_proj.weight,0.04933930775587214,gsm8k
model.layers.11.self_attn.k_proj.weight,0.04746227716168505,gsm8k
model.layers.0.self_attn.o_proj.weight,0.046526400527606405,gsm8k
model.layers.4.self_attn.v_proj.weight,0.04608415584516479,gsm8k
model.layers.17.self_attn.k_proj.weight,0.045483987637756705,gsm8k
model.layers.19.self_attn.k_proj.weight,0.045275796745651554,gsm8k
model.layers.8.self_attn.v_proj.weight,0.0443363506346941,gsm8k
model.layers.5.self_attn.v_proj.weight,0.043147646421857644,gsm8k
