param_name,fisher_value,zone,dataset
model.layers.2.mlp.down_proj.weight,4493.556507110596,A,gsm8k
model.layers.30.mlp.down_proj.weight,1167.180820696056,A,gsm8k
model.embed_tokens.weight,55.115676240995526,A,gsm8k
model.layers.1.mlp.gate_proj.weight,45.21595393354073,A,gsm8k
model.layers.3.mlp.down_proj.weight,41.6076707332395,A,gsm8k
model.layers.0.self_attn.v_proj.weight,24.328237286303192,A,gsm8k
model.layers.28.mlp.up_proj.weight,22.17148387688212,A,gsm8k
model.layers.10.mlp.up_proj.weight,20.988765784190036,A,gsm8k
model.layers.16.mlp.down_proj.weight,20.083486797404476,A,gsm8k
model.layers.14.mlp.down_proj.weight,19.578488876577467,A,gsm8k
model.layers.17.mlp.down_proj.weight,19.512434805976227,A,gsm8k
model.layers.12.mlp.up_proj.weight,18.711132276104763,A,gsm8k
model.layers.15.mlp.down_proj.weight,18.573823914397508,A,gsm8k
model.layers.12.mlp.down_proj.weight,18.471488181501627,A,gsm8k
model.layers.9.mlp.up_proj.weight,18.416377142304555,A,gsm8k
model.layers.18.mlp.down_proj.weight,18.229174788109958,A,gsm8k
model.layers.16.mlp.up_proj.weight,17.92741319851484,A,gsm8k
model.layers.14.mlp.up_proj.weight,17.842253433424048,A,gsm8k
model.layers.20.mlp.down_proj.weight,17.464384203776717,A,gsm8k
model.layers.15.mlp.up_proj.weight,16.659201627073344,A,gsm8k
model.layers.17.mlp.up_proj.weight,16.628567370586097,A,gsm8k
model.layers.11.mlp.down_proj.weight,16.55875142820878,A,gsm8k
model.layers.22.mlp.down_proj.weight,16.54097461141646,A,gsm8k
model.layers.18.mlp.up_proj.weight,16.48318551853299,A,gsm8k
model.layers.21.mlp.down_proj.weight,16.445864389417693,A,gsm8k
model.layers.11.mlp.up_proj.weight,16.382951283769216,A,gsm8k
model.layers.19.self_attn.o_proj.weight,16.145785224973224,A,gsm8k
model.layers.23.mlp.down_proj.weight,16.02433460066095,A,gsm8k
model.layers.17.mlp.gate_proj.weight,16.013958223047666,A,gsm8k
model.layers.22.mlp.up_proj.weight,15.791436093393713,A,gsm8k
